"","Forest ( ha )","Forest ( ha )","Forest ( ha )","Forest ( ha )"
"","1990","2000","2010","2020"
"Trinidad and Tobago","242060.00","236650.00","232410.00","228190.00"
"Tunisia","643980.00","667850.00","687430.00","702730.00"
"Türkiye","19783480.00","20148350.00","21083080.00","22220360.00"
"Turkmenistan (Desk study)","4127000.00","4127000.00","4127000.00","4127000.00"
"Turks and Caicos Islands (Desk study)","10520.00","10520.00","10520.00","10520.00"
"Tuvalu","1000.00","1000.00","1000.00","1000.00"
"Uganda","3575470.00","3162950.00","2750420.00","2337900.00"
"Ukraine","9274000.00","9510000.00","9548000.00","9690000.00"
"United Arab Emirates (Desk study)","245000.00","309430.00","317300.00","317300.00"
"United Kingdom of Great Britain and Northern Ireland","2778000.00","2954000.00","3059000.00","3190000.00"
"United Republic of Tanzania","57390010.00","53670010.00","49950010.00","45745000.00"
"United States of America","302450000.00","303536000.00","308720000.00","309795000.00"
"United States Virgin Islands","24540.00","20470.00","18430.00","19910.00"
"Uruguay","798000.00","1369000.00","1731300.00","2031000.00"
"Uzbekistan","2549370.00","2961460.00","3349600.00","3689660.00"
"Vanuatu","442300.00","442300.00","442300.00","442300.00"
"Venezuela (Bolivarian Republic of)","52026000.00","49151000.00","47505000.00","46230900.00"
"Viet Nam","9375960.00","11784100.00","13388060.00","14643090.00"
"Wallis and Futuna Islands (Desk study)","5800.00","5810.00","5820.00","5830.00"
"Western Sahara (Desk study)","665100.00","669310.00","665110.00","665070.00"
"Yemen","549000.00","549000.00","549000.00","549000.00"
"Zambia","47412000.00","47054000.00","46696000.00","44814030.00"
"Zimbabwe","18826680.00","18365980.00","17905280.00","17444580.00"
"© FRA 2024","","","",""
"2024-03-08","","","",""
